 # i        kappa            theta           
 703        7.32725          1.61964         
 704        7.57445          1.62299         
 705        16.942           1.62417         
 706        7.44267          1.6543          
 707        12.6107          1.65515         
 708        17.0133          1.65969         
 709        11.7031          1.66126         
 710        7.87115          1.66344         
 711        6.0289           1.67017         
 712        9.64164          1.67053         
 713        9.23931          1.67149         
 714        5.5213           1.67173         
 715        11.6603          1.6737          
 716        11.512           1.68051         
 717        5.39731          1.68187         
 718        9.5576           1.68199         
 719        10.06            1.68405         
 720        1.68895          1.6841          
 721        12.4079          1.70834         
 722        14.1973          1.71055         
 723        1.61271          1.71062         
 724        7.43666          1.71295         
 725        7.21223          1.71633         
 726        14.6367          1.71851         
 727        5.80839          1.72015         
 728        9.6908           1.72059         
 729        6.09561          1.72247         
 730        14.2332          1.72305         
 731        12.1379          1.72886         
 732        11.734           1.73165         
 733        6.02695          1.73523         
 734        4.85195          1.73578         
 735        12.2821          1.73603         
 736        5.1871           1.73629         
 737        8.02624          1.73927         
 738        9.04927          1.75377         
 739        7.20535          1.75894         
 740        7.05821          1.75913         
 741        14.8831          1.77585         
 742        1.73114          1.77592         
 743        6.12549          1.77903         
 744        9.05663          1.77967         
 745        13.3329          1.77977         
 746        7.82451          1.78265         
 747        13.7564          1.79272         
 748        12.4114          1.79972         
 749        7.97477          1.80226         
 750        11.5551          1.80542         
 751        6.9729           1.80624         
 752        8.53729          1.81147         
 753        8.47682          1.81148         
 754        6.67606          1.8124          
 755        6.11713          1.82109         
 756        6.02301          1.82134         
 757        6.9106           1.82254         
 758        6.27298          1.82494         
 759        8.0462           1.82586         
 760        7.24451          1.82597         
 761        1.10067          1.82602         
 762        7.26337          1.82818         
 763        12.3505          1.83406         
 764        11.8849          1.83858         
 765        11.5783          1.84233         
 766        7.67496          1.84514         
 767        7.36051          1.85061         
 768        1.39121          1.85334         
 769        7.59073          1.85339         
 770        1.36639          1.85345         
 771        14.8469          1.85562         
 772        6.66767          1.8578          
 773        5.48882          1.86027         
 774        13.1675          1.86053         
 775        14.8645          1.86245         
 776        7.34035          1.86903         
 777        9.36541          1.87208         
 778        1.63905          1.87213         
 779        11.6344          1.8743          
 780        14.9622          1.8831          
 781        4.90486          1.88521         
 782        8.41914          1.88531         
 783        5.52515          1.88748         
 784        9.35357          1.88775         
 785        6.32963          1.89396         
 786        5.81154          1.89505         
 787        12.5096          1.89598         
 788        5.55006          1.89674         
 789        8.79407          1.89867         
 790        8.75647          1.8991          
 791        4.54224          1.90128         
 792        4.69329          1.90135         
 793        14.2244          1.90354         
 794        7.05457          1.90706         
 795        6.86021          1.91011         
 796        4.85841          1.91228         
 797        1.63964          1.91232         
 798        8.4798           1.91448         
 799        4.89307          1.91458         
 800        4.8088           1.91675         
 801        1.53114          1.91679         
 802        10.1957          1.91895         
 803        7.58977          1.92115         
 804        1.25648          1.9212          
 805        8.74768          1.92153         
 806        6.53205          1.92554         
 807        6.61437          1.92625         
 808        5.15716          1.93059         
 809        1.60459          1.93062         
 810        10.0778          1.93278         
 811        5.68275          1.93385         
 812        5.67099          1.9341          
 813        8.31368          1.94065         
 814        4.85143          1.94073         
 815        6.29021          1.94152         
 816        4.95928          1.94586         
 817        1.64395          1.9459          
 818        5.09024          1.94806         
 819        11.9431          1.94837         
 820        5.33963          1.94876         
 821        10.6374          1.95273         
 822        6.68082          1.95497         
 823        6.09206          1.95707         
 824        4.86767          1.95807         
 825        8.26424          1.95826         
 826        6.13552          1.95925         
 827        6.80597          1.96209         
 828        11.0453          1.96427         
 829        7.23524          1.97083         
 830        8.47803          1.97439         
 831        4.69351          1.97464         
 832        4.96516          1.97506         
 833        5.32567          1.97569         
 834        8.93641          1.97662         
 835        3.6041           1.97758         
 836        3.76908          1.97759         
 837        7.26             1.9855          
 838        6.99384          1.98726         
 839        6.6974           1.98998         
 840        6.69366          1.99113         
 841        14.0483          1.99441         
 842        6.46811          1.99636         
 843        5.02154          1.99935         
 844        11.4582          1.99967         
 845        8.58214          2.00041         
 846        9.42583          2.00188         
 847        6.16061          2.00406         
 848        6.23968          2.00497         
 849        6.62966          2.00714         
 850        6.86753          2.00931         
 851        7.01829          2.01148         
 852        7.12813          2.01584         
 853        9.93721          2.02021         
 854        5.45238          2.02239         
 855        11.6478          2.02318         
 856        8.44239          2.02387         
 857        1.27299          2.02535         
 858        6.01786          2.0254          
 859        1.27317          2.02545         
 860        5.4675           2.02657         
 861        5.54575          2.02762         
 862        8.91793          2.02897         
 863        5.80384          2.03026         
 864        5.89686          2.03155         
 865        5.38607          2.03417         
 866        11.9462          2.03477         
 867        5.21505          2.03634         
 868        6.92178          2.03731         
 869        6.63153          2.03756         
 870        6.85685          2.03776         
 871        9.95168          2.04057         
 872        6.62576          2.04411         
 873        5.14566          2.0472          
 874        5.05208          2.04733         
 875        6.31438          2.049           
 876        13.0282          2.05156         
 877        5.73596          2.0524          
 878        5.93557          2.05375         
 879        9.09553          2.05508         
 880        5.65968          2.05551         
 881        7.08246          2.05809         
 882        7.04059          2.06677         
 883        4.97426          2.06894         
 884        1.58364          2.06898         
 885        8.39266          2.07114         
 886        1.53063          2.07119         
 887        12.2671          2.07336         
 888        5.15282          2.07359         
 889        3.85339          2.07781         
 890        10.1412          2.07798         
 891        3.65126          2.07812         
 892        7.80197          2.07847         
 893        8.37681          2.08124         
 894        1.48189          2.08129         
 895        6.56113          2.08302         
 896        6.85788          2.08745         
 897        8.49916          2.09024         
 898        8.4323           2.09048         
 899        5.79061          2.09114         
 900        7.00442          2.0952          
 901        6.389            2.09913         
 902        11.4574          2.10117         
 903        4.60862          2.1014          
 904        8.27595          2.10244         
 905        4.85038          2.1033          
 906        7.97409          2.1036          
 907        5.82384          2.10558         
 908        5.80842          2.10647         
 909        11.6487          2.1083          
 910        4.83532          2.10844         
 911        6.4746           2.10992         
 912        7.16212          2.11501         
 913        7.13066          2.11647         
 914        11.8668          2.12028         
 915        7.01962          2.13351         
 916        6.59582          2.13468         
 917        9.15406          2.13639         
 918        13.2669          2.13667         
 919        7.21237          2.14117         
 920        15.0102          2.14401         
 921        7.32574          2.1486          
 922        8.86529          2.15174         
 923        1.70169          2.15179         
 924        7.93828          2.15605         
 925        11.6545          2.15618         
 926        9.26203          2.1572          
 927        5.71139          2.16195         
 928        12.3999          2.16273         
 929        4.69119          2.16442         
 930        10.142           2.16486         
 931        3.67769          2.16492         
 932        4.94059          2.16709         
 933        4.78001          2.16748         
 934        10.8728          2.16815         
 935        4.67568          2.16852         
 936        5.62094          2.16926         
 937        6.71724          2.17474         
 938        9.58291          2.17692         
 939        5.36294          2.17781         
 940        5.36558          2.17821         
 941        9.82836          2.17911         
 942        6.2605           2.1845          
 943        6.25131          2.1848          
 944        11.5254          2.1878          
 945        5.17256          2.19994         
 946        1.61408          2.19997         
 947        11.7165          2.20214         
 948        4.02181          2.20228         
 949        12.4201          2.20263         
 950        6.52659          2.20582         
 951        6.63953          2.20644         
 952        11.709           2.21079         
 953        6.39126          2.22185         
 954        9.77919          2.22262         
 955        9.468            2.22403         
 956        5.80192          2.22496         
 957        4.10508          2.22621         
 958        7.71335          2.22623         
 959        6.22235          2.22809         
 960        6.35396          2.22897         
 961        7.0103           2.23042         
 962        7.64377          2.23535         
 963        7.59499          2.23819         
 964        7.41238          2.24744         
 965        6.90432          2.24985         
 966        6.90197          2.25128         
 967        6.4042           2.25373         
 968        10.0927          2.2546          
 969        9.42255          2.2589          
 970        5.71255          2.2594          
 971        9.5904           2.26158         
 972        5.35108          2.26369         
 973        11.0466          2.26439         
 974        4.65568          2.26488         
 975        4.75608          2.26523         
 976        7.44215          2.2666          
 977        1.46484          2.26665         
 978        6.04342          2.26881         
 979        9.07277          2.27062         
 980        9.12869          2.27137         
 981        9.81759          2.27382         
 982        6.3744           2.27574         
 983        6.50493          2.27735         
 984        6.28222          2.2801          
 985        9.49893          2.28133         
 986        5.97005          2.28227         
 987        6.34582          2.28321         
 988        6.28103          2.2884          
 989        9.85706          2.28916         
 990        9.51576          2.29136         
 991        5.84114          2.29174         
 992        7.18591          2.29598         
 993        6.98209          2.29965         
 994        4.62656          2.30299         
 995        16.029           2.30312         
